id,comment_num,like_num,repost_num
1,3,27,27
2,0,9,2
3,2,8,15
4,22,?,?
5,0,10,19
6,2,13,4
7,12,28,22
8,138,?,?
9,1,5,0
10,57,187,103
11,4,14,1
12,13,14,18
13,2,?,?
14,8,16,7
15,5,9,4
16,18,46,14
17,3,6,2
18,4,6,3
19,5,?,?
20,6,23,8
21,6,?,?
22,1,19,5
23,4,?,?
24,10,28,8
25,4,?,?
26,1,14,2
27,1,14,5
28,10,22,27
29,3,?,?
30,5,8,15
31,1,?,?
32,1,4,2
33,1,10,3
34,0,8,2
35,2,?,?
36,0,?,?
37,1,11,2
38,3,15,3
39,4,18,3
40,3,?,?
41,0,7,5
42,2,4,2
43,8,23,8
44,1,?,?
45,0,3,0
46,1,4,9
47,24,90,62
48,5,10,1
49,5,6,20
50,5,?,?
51,3,1,1
52,3,4,2
53,0,3,1
54,7,?,?
55,524,9384,855
56,6,9,13
57,3,10,35
58,1,?,?
59,1,?,?
60,3,6,4
61,3,?,?
62,0,10,2
63,2,6,4
64,4,8,2
65,6,2,2
66,56,146,59
67,6,25,5
68,2,?,?
69,1,8,1
70,4,12,4
71,0,13,4
72,88,628,241
73,3,?,?
74,4,12,11
75,0,3,2
76,4,9,14
77,1,4,4
78,1,3,2
79,4,5,3
80,3,?,?
81,2,4,4
82,1,?,?
83,1,9,6
84,0,4,5
85,0,38,6
86,1,2,6
87,1,5,2
88,1,1,2
89,2,?,?
90,0,4,0
91,1,7,5
92,0,9,0
93,2,14,10
94,181,?,?
95,8,12,7
96,1,6,2
97,8,?,?
98,6,9,9
99,4,?,?
100,7,16,4
101,3,?,?
102,3,5,1
103,2,35,34
104,1,14,5
105,39,47,90
106,2,31,51
107,1089,?,?
108,421,2736,684
109,11,25,11
110,2,21,4
111,1,?,?
112,14,17,8
113,6,25,51
114,1,15,10
115,0,21,118
116,1,21,5
117,19,?,?
118,17,54,30
119,4,9,124
120,4,18,18
121,10,31,53
122,1,13,8
123,5,17,19
124,7,12,3
125,1,8,10
126,3,?,?
127,5,?,?
128,4,21,20
129,4,35,29
130,2,?,?
131,1,?,?
132,3,9,5
133,77,292,64
134,4,?,?
135,1732,?,?
136,297,?,?
137,22,37,7
138,1,16,11
139,98,716,30
140,0,?,?
141,4,?,?
142,2,?,?
143,17,51,19
144,15,21,6
145,21,34,19
146,2,9,5
147,10,?,?
148,0,14,3
149,14,46,20
150,5,?,?
151,0,4,0
152,1,19,6
153,3,?,?
154,3,8,3
155,5,?,?
156,1,?,?
157,8,?,?
158,35,?,?
159,2,2,1
160,0,12,1
161,6,10,6
162,1,8,3
163,6,14,7
164,0,?,?
165,1,8,1
166,1,?,?
167,1,6,2
168,0,?,?
169,3,8,2
170,1,?,?
171,3,7,7
172,43,9,1
173,3,?,?
174,0,?,?
175,1,11,3
176,2,11,4
177,1,9,2
178,1,?,?
179,2,?,?
180,1,6,8
181,1,10,4
182,1,12,5
183,3,7,4
184,5,?,?
185,4,?,?
186,1,11,1
187,3,6,4
188,0,3,3
189,2,17,16
190,0,6,3
191,2,5,2
192,0,3,1
193,8,27,11
194,11,22,3
195,14,25,10
196,2,?,?
197,2,?,?
198,1,?,?
199,1,?,?
200,1,?,?
201,1,10,5
202,3,5,1
203,1,2,2
204,6,7,11
205,1,?,?
206,4,?,?
207,0,11,6
208,0,?,?
209,0,?,?
210,0,2,2
211,0,9,3
212,4,?,?
213,5,?,?
214,9,23,160
215,3,15,4
216,3,10,4
217,24,?,?
218,3,?,?
219,6,10,7
220,5,?,?
221,22,?,?
222,4,?,?
223,2,12,4
224,11,30,10
225,0,?,?
226,2,16,5
227,5,10,7
228,6,?,?
229,3,17,12
230,4,19,10
231,1,?,?
232,7,13,11
233,3,11,4
234,0,?,?
235,1,6,0
236,3,?,?
237,1,?,?
238,1,?,?
239,1,5,1
240,1,9,1
241,3,15,5
242,19,41,2
243,5,?,?
244,1,9,6
245,1,6,2
246,1,31,11
247,3,?,?
248,3,10,3
249,12,?,?
250,4,14,12
251,8,?,?
252,1,?,?
253,4,?,?
254,1,14,4
255,1,1,4
256,0,9,1
257,0,?,?
258,8,?,?
259,1,7,5
260,2,12,3
261,1,6,3
262,1,11,8
263,3,20,1
264,4,7,0
265,4,8,2
266,1,?,?
267,18,?,?
268,5,?,?
269,5,13,7
270,3,?,?
271,1,6,1
272,5,8,14
273,1,8,3
274,0,12,4
275,2,?,?
276,2,7,5
277,1,8,1
278,0,9,2
279,0,6,5
280,1,?,?
281,1,10,2
282,4,?,?
283,1,4,1
284,1,?,?
285,116,454,203
286,3,17,7
287,4,31,14
288,2,15,0
289,3,?,?
290,1,10,0
291,11,24,10
292,0,2,0
293,6,?,?
294,3,5,1
295,11,25,11
296,3,?,?
297,1,?,?
298,7,252,55
299,4,2,2
300,1,12,5
301,1,?,?
302,2,9,3
303,2,?,?
304,4,7,6
305,10,18,4
306,1,7,1
307,1,4,5
308,1,2,2
309,7,?,?
310,3,?,?
311,8,28,15
312,12,?,?
313,4,12,3
314,11,?,?
315,1,17,2
316,2,10,4
317,65,79,41
318,3,?,?
319,1,?,?
320,3,18,1
321,0,6,2
322,0,9,5
323,0,?,?
324,76,2,4
325,79,901,151
326,43,127,21
327,5,?,?
328,7,?,?
329,6,?,?
330,9,?,?
331,0,?,?
332,4,5,3
333,4,25,9
334,3,3,4
335,0,?,?
336,1,?,?
337,1,3,6
338,8,?,?
339,0,?,?
340,1,?,?
341,5,26,4
342,4,?,?
343,3,?,?
344,11,20,9
345,3,?,?
346,1,9,2
347,5,12,3
348,5,5,5
349,0,?,?
350,5,19,8
351,10,17,13
352,1,?,?
353,2,?,?
354,10,43,4
355,2,11,2
356,8,19,4
357,4567,?,?
358,21,11,3
359,6,?,?
360,9,15,11
361,2,?,?
362,2,20,5
363,2,8,0
364,3,?,?
365,5,13,2
366,1,7,2
367,1,7,2
368,1,16,2
369,5,?,?
370,2972,?,?
371,11,18,5
372,6,12,2
373,5,?,?
374,0,?,?
375,2,11,6
376,4,?,?
377,1,?,?
378,1,?,?
379,3,9,7
380,1029,?,?
381,5,31,5
382,7,19,6
383,3,?,?
384,2,14,8
385,11,?,?
386,4,?,?
387,1,?,?
388,2,?,?
389,5,17,3
390,11,20,1
391,7,?,?
392,2,?,?
393,5,?,?
394,1,?,?
395,356,?,?
396,4,?,?
397,3,?,?
398,3,15,5
399,4,14,3
400,5,10,2
401,6,?,?
402,2,?,?
403,17,?,?
404,2,8,3
405,0,3,0
406,2,?,?
407,1,?,?
408,1,13,13
409,4,?,?
410,5,?,?
411,2,?,?
412,3,?,?
413,6,14,7
414,9,?,?
415,2,?,?
416,4,13,8
417,5,11,2
418,0,?,?
419,7,?,?
420,6,12,10
421,3,12,5
422,12,37,15
423,0,2,2
424,2,6,7
425,9,?,?
426,3,?,?
427,13,15,8
428,3,11,7
429,11,?,?
430,2,10,4
431,13,?,?
432,5,?,?
433,1,13,0
434,0,14,3
435,3,?,?
436,6,7,2
437,5,9,6
438,2,9,3
439,3,?,?
440,435,?,?
441,5,6,3
442,6,?,?
443,3,?,?
444,30,?,?
445,1,13,9
446,3,12,0
447,0,?,?
448,3,11,10
449,3,10,3
450,10,25,12
451,0,?,?
452,2,6,8
453,441,1621,719
454,7,23,8
455,4,?,?
456,15,42,16
457,0,6,1
458,3,?,?
459,0,3,2
460,12,?,?
461,506,?,?
462,5,8,17
463,0,8,37
464,4,?,?
465,16,18,16
466,2,16,17
467,8,11,6
468,4,8,7
469,2,7,5
470,7,?,?
471,2,8,3
472,1,13,2
473,2,?,?
474,0,8,2
475,0,7,1
476,1,?,?
477,1,?,?
478,7,?,?
479,5,6,5
480,4,9,6
481,1,?,?
482,1,9,1
483,2,22,4
484,0,7,6
485,4,18,5
486,7,14,2
487,4,?,?
488,1,?,?
489,4,10,4
490,1,7,3
491,0,4,2
492,3,?,?
493,2,14,23
494,2,9,6
495,0,12,11
496,5,6,2
497,3,?,?
498,3,6,2
499,0,?,?
500,11,30,5
501,1,4,2
502,15,45,15
503,0,?,?
504,1,?,?
505,3,14,11
506,7,?,?
507,7,26,6
508,3,?,?
509,3,15,7
510,10,?,?
511,3,10,2
512,2,11,3
513,2,?,?
514,5,?,?
515,2,?,?
516,2,?,?
517,2,10,1
518,0,16,6
519,11,12,7
520,3,?,?
521,1,?,?
522,7,22,5
523,11,19,17
524,0,?,?
525,7,?,?
526,7,?,?
527,399,?,?
528,4,12,6
529,4,?,?
530,2,25,25
531,11,22,9
532,30,?,?
533,1,14,2
534,1,?,?
535,18,41,31
536,5,?,?
537,0,?,?
538,3,13,6
539,1,?,?
540,0,?,?
541,3,10,0
542,3,4,2
543,1,?,?
544,6,5,2
545,0,23,20
546,0,?,?
547,5,?,?
548,2,16,0
549,9,?,?
550,747,?,?
551,2,?,?
552,46,182,101
