,weibo_id,like_num,senti_index
0,IqyrZ6FdQ,0,0.979677
1,IqyrZ6FdQ,0,6.1e-05
2,IqwGrva9a,0,0.000699
3,IqvYmcKWm,0,0.748223
5,IqvGpEAvj,1,0.927283
8,Iquak5Rwi,0,1.2e-05
9,Iquak5Rwi,0,0.005616
10,Iquak5Rwi,0,0.99775
11,Iquak5Rwi,0,0.956579
12,Iquak5Rwi,0,0.696873
13,Iqnw0sfRA,0,0.273073
15,ItBLHe63v,13,1e-06
16,ItBLHe63v,12,1.1e-05
17,ItBLHe63v,13,0.999392
18,ItBLHe63v,4,0.008177
19,ItBLHe63v,4,0.001144
21,ItBHVs2DI,0,0.876186
22,ItBHVs2DI,0,0.030246
24,ItBG9z51a,0,0.108167
25,ItBD1F2ZF,2,0.000128
26,ItBD1F2ZF,0,0.229639
27,ItBAExLLP,0,0.940945
29,ItBwgEk9B,0,0.735225
30,ItBwgEk9B,0,0.031314
32,ItBr1nXLQ,0,0.0
34,ItBr1nXLQ,0,0.995513
35,ItBr1nXLQ,0,0.994739
36,ItBr1nXLQ,0,0.994834
37,ItBr1nXLQ,0,0.007406
38,ItBr1nXLQ,0,3.2e-05
39,ItBmuC6vh,0,0.000827
40,ItBmuC6vh,0,0.001933
41,ItBjF8riz,0,0.986816
42,ItBjF8riz,0,0.000747
43,ItBjF8riz,0,0.024791
46,IwEmQa2aY,1,0.000482
48,IwEmQa2aY,0,0.205964
50,IwEinkHid,0,0.000397
51,IwEinkHid,0,0.044183
54,IwEfSsWYI,0,0.013555
58,ItBLHe63v,0,0.710171
60,ItBLHe63v,1,0.002488
61,ItBLHe63v,0,0.912872
63,ItBLHe63v,3,0.896349
64,ItBLHe63v,0,0.003718
66,ItBLHe63v,1,0.006752
67,ItBLHe63v,1,0.007702
68,ItBLHe63v,2,0.0
69,ItBLHe63v,0,0.003977
70,ItBLHe63v,3,0.000768
71,ItBLHe63v,3,0.001914
72,ItBLHe63v,2,0.004862
73,ItBLHe63v,2,0.8608
75,ItBLHe63v,1,0.048314
76,ItBLHe63v,0,0.002924
77,ItBLHe63v,0,0.000346
78,ItBLHe63v,2,0.644961
79,ItBLHe63v,1,0.890534
80,ItBr1nXLQ,0,0.975853
81,ItBr1nXLQ,0,0.993318
84,IwE9Uv7xl,0,0.117088
85,IwE7h65Zs,0,0.96111
87,IwE3YDzY3,2,0.001538
88,IwE3YDzY3,1,0.847075
89,IwE3YDzY3,1,0.222541
90,IwE3YDzY3,1,0.002478
92,IwE3YDzY3,0,0.531462
93,IwE3YDzY3,0,0.257289
94,IwDOsvcr1,0,0.716876
95,IwDKhC8eM,0,0.642669
96,IzGM51gkc,0,0.025674
99,IzGDZi0P2,0,0.505703
100,IzGDZi0P2,0,0.002432
102,IzGAC3Nkr,0,0.015998
103,IzGxJAYVu,0,5e-06
104,IzGt2fYHz,0,0.036332
105,IzGqqATbp,0,0.780521
108,IzGqqATbp,0,2e-06
111,ICIn1tfCA,0,0.993627
112,ICIn1tfCA,0,0.993627
113,ICI8Yn9Uf,2,0.418745
114,ICI8Yn9Uf,0,4.2e-05
115,ICI8Yn9Uf,0,0.992795
116,ICGhOqw2b,4,0.001473
119,ICFXtzCys,0,0.008721
121,ICFz0t9dk,0,0.99574
122,ICzOvpwRz,2,0.000841
123,ICzOvpwRz,3,0.584617
124,ICzOvpwRz,3,0.007225
125,ICzOvpwRz,0,0.645841
126,ICzOvpwRz,0,0.005504
127,ICzOvpwRz,3,0.001722
128,InOcTb44F,0,0.001289
129,InNP2yuSN,0,0.970555
130,InNuYeTAQ,0,0.107779
131,InNuYeTAQ,0,5.6e-05
132,InNuYeTAQ,0,0.711591
139,InL15Dsvb,3,0.816488
140,InL15Dsvb,0,0.947701
141,InL15Dsvb,1,0.000646
143,InGl8uWXy,0,0.999726
144,InEO9DUfB,0,0.004305
146,InBzJEk2u,0,0.039693
148,IogksuNgG,0,0.00369
149,IoftC4GoY,513,0.050162
150,IoftC4GoY,409,1.5e-05
151,IoftC4GoY,151,0.028265
152,IodZ6iC3o,1,0.996619
153,IodZ6iC3o,0,0.12755
154,Io7lPnABP,0,0.996196
155,Io7lPnABP,1,0.968847
159,InOR80mza,0,0.004675
160,IoxOLC3DK,0,0.000102
165,InNuYeTAQ,0,0.107779
166,InNuYeTAQ,0,0.107779
170,Ioqq1Bhob,1,0.080032
171,Ioqq1Bhob,0,1.5e-05
173,IopzotUvH,0,0.993667
174,Iopmfea9a,0,0.317132
175,Iopmfea9a,0,0.204457
176,IomhwfXvf,16,0.000248
177,IomhwfXvf,6,0.993892
178,IomhwfXvf,1,0.032673
188,IohCIBm8I,0,0.997713
190,Iohmovnyx,0,2e-06
191,IoftC4GoY,0,0.999377
192,IoftC4GoY,0,0.001011
193,IoftC4GoY,0,0.994048
195,IoftC4GoY,1,0.000826
197,IomhwfXvf,0,0.149249
198,IomhwfXvf,1,0.970083
200,IomhwfXvf,0,0.996768
202,IomhwfXvf,0,0.248562
203,IomhwfXvf,0,0.000157
204,IomhwfXvf,0,0.9998
205,IomhwfXvf,0,4.9e-05
214,IomhwfXvf,0,9e-06
215,IoftC4GoY,0,0.888873
216,IoftC4GoY,0,0.003997
218,IoftC4GoY,0,0.627228
