weibo_id,content
IA54opYvf,0.24442899
IA6oqaq0J,0.35563245
IA891dKpu,0.592735
IA8f57lsy,0.374639
IAAeAtA5R,0.0156866
IABqigt4L,0.89598
IABwsBRSf,0.5942868
IABzKewa8,0.001799
IAGmx7z1A,0.20907153
IAIXYzHsT,0.42898035
IAJxlq8LX,0.07796783
IAKDr9FD0,0.49282202
IAKbYu6mN,0.33211198
IAKfqacbb,0.017509
IAKr0uOfE,0.4287285
IASJHfrqD,0.000654
IASLQfHFA,0.66264135
IASSwdfAW,0.94333726
IAT0SxBnM,0.019738665
IATBksJsM,0.999242
IAToSjMaj,0.017362667
IATs6D4eP,0.21268675
IAeDskjlT,0.42687002
IAgx48lov,0.008128
IAhwv2P1J,0.208493
IAiAdB19A,0.018808
IAiCQ9cxB,0.99890447
IAiEC3yKR,0.98381
IAiHkrIVn,0.913928
IAiJu3lPZ,0.000184
IAiQBv8x5,0.805724
IAiUmD7H3,0.54920876
IAijLhrnB,0.000283
IAimy7hWG,0.660958
IAitXB6sj,0.13688955
IAixbC0HC,0.130152
IAoRgku2Y,0.99970603
IAq2JkhDM,0.43499574
IArLy9Xg2,0.7652828
IArPa8Tis,0.997913
IArzNep6D,0.4709325
IAzEP8uuG,0.993715
IB2LkA5fn,0.991984
IB2UtEgKJ,0.003341
IB31ECgdg,0.954301
IB3mKegax,0.470877
IB9WN3HOE,0.78323
IB9gr2J72,0.28541267
IB9oJcfPJ,0.36047775
IBAwfeCZF,0.34002602
IBAzaCX9M,0.003178
IBEC35hxp,0.60081464
IBEJZBAgF,0.078630246
IBENWARuA,0.2068628
IBET84It0,0.981553
IBEre1AVF,0.000403
IBEx5pcWF,0.6810425
IBNXQwztS,0.035947
IBO1JCdbl,0.08085
IBO6FbuWj,0.39925346
IBObpbw0D,0.3376397
IBOj4mlmR,0.50457346
IBOnwFxUj,0.26592648
IBOrRhZHc,0.19681586
IBXTrcqbV,0.69784445
IBY0mglK1,0.77983946
IBYfnm1xo,0.37536243
IBYkn0GH7,0.32261667
IBYrsmDd6,0.560691
IBYuga46G,0.6087767
IBYyn9fCp,0.5750165
IBcUw0Apf,0.005347
IBcXytoYd,0.1327875
IBcZYirXT,0.48559582
IBd1M0lrd,0.943682
IBd5Krp7U,0.075743996
IBdb1ihQ0,0.52091175
IBdg60NID,0.9912025
IBdiMBKBo,0.0013435
IBdlee1W1,0.009361999
IBdvC4jBp,0.016719
IBhYU8TTk,0.51260394
IBj7VgURk,0.800624
IBjT32SYN,0.02265275
IBjWD1vT9,0.967005
IBjcCBc6G,0.49138802
IBk4Pyb9A,0.49587673
IBkLRdbvf,0.000914
IBkPjsRYL,0.3909654
