,weibo_id,senti_index,comment_num,like_num,repost_num
0,IA54opYvf,0.3555007142857143,8,27,7
1,IA6oqaq0J,0.2246917777777778,42,180,31
2,IA891dKpu,0.203917,3,17,9
3,IA8f57lsy,0.000113,6,13,11
4,IAAeAtA5R,0.005061,8,12,37
5,IABqigt4L,0.89598,1,1,4
6,IABwsBRSf,0.5216991666666667,7,13,5
7,IAGmx7z1A,0.2345891290322581,26,83,27
8,IAIXYzHsT,0.4289803333333333,11,19,18
9,IAJxlq8LX,0.0326274615384615,18,39,12
10,IAKDr9FD0,0.004091,5,16,9
11,IAKbYu6mN,0.332112,4,6,3
12,IAKfqacbb,0.010776,4,7,0
13,IAKr0uOfE,0.002418,3,20,1
14,IASJHfrqD,0.000654,1,10,1
15,IASLQfHFA,0.0453579999999999,5,8,14
16,IASSwdfAW,0.9401226666666666,3,13,7
17,IAT0SxBnM,0.0177053333333333,5,13,7
18,IATBksJsM,0.99871,1,18,3
19,IAToSjMaj,0.0173626666666666,5,7,2
20,IATs6D4eP,0.2019547142857143,18,37,12
21,IAeDskjlT,0.3238,5,10,7
22,IAgx48lov,0.008128,3,12,10
23,IAhwv2P1J,0.208493,1,6,0
24,IAiAdB19A,0.018808,1,9,1
25,IAiCQ9cxB,0.998966,2,19,13
26,IAiEC3yKR,0.98381,1,19,13
27,IAiJu3lPZ,0.000184,1,3,2
28,IAiQBv8x5,0.805724,4,10,5
29,IAiUmD7H3,0.6638216666666666,8,16,4
30,IAijLhrnB,6.1e-05,1,9,6
31,IAimy7hWG,0.6606956666666667,5,33,21
32,IAitXB6sj,0.0998113043478261,19,41,2
33,IAixbC0HC,0.988872,3,15,5
34,IAoRgku2Y,0.999706,4,14,12
35,IAq2JkhDM,0.3359671666666666,12,29,17
36,IArLy9Xg2,0.6836774285714285,15,31,11
37,IArPa8Tis,0.999013,1,11,2
38,IArzNep6D,0.467657,3,8,6
39,IAzEP8uuG,0.993715,1,11,8
40,IB2LkA5fn,0.991984,1,8,1
41,IB2UtEgKJ,0.0024355,2,3,1
42,IB31ECgdg,0.924367,2,7,4
43,IB3mKegax,0.470877,6,24,9
44,IB9WN3HOE,0.368857,1,7,2
45,IB9gr2J72,0.411131,3,57,36
46,IB9oJcfPJ,0.1716575394736842,116,454,203
47,IBAwfeCZF,0.3577916923076923,8,28,15
48,IBAzaCX9M,0.003178,3,12,2
49,IBEC35hxp,0.4258191999999999,16,21,5
50,IBEJZBAgF,0.097228375,9,14,9
51,IBENWARuA,0.01299525,10,32,13
52,IBEre1AVF,0.000403,7,40,9
53,IBEx5pcWF,0.99853,4,18,1
54,IBNXQwztS,0.035947,1,6,2
55,IBO1JCdbl,0.08085,3,23,1
56,IBO6FbuWj,0.1591924864864864,65,79,41
57,IBObpbw0D,0.24091425,6,20,6
58,IBOj4mlmR,0.50481325,7,29,13
59,IBOnwFxUj,0.520225,5,25,9
60,IBOrRhZHc,0.0442372602739726,43,127,21
61,IBXTrcqbV,0.665297962962963,79,901,151
62,IBY0mglK1,0.7365327272727273,76,435,111
63,IBYfnm1xo,0.6057233548387096,24,14,9
64,IBYkn0GH7,0.318804,8,13,2
65,IBYrsmDd6,0.058379,3,9,6
66,IBYuga46G,0.550517,15,35,15
67,IBYyn9fCp,0.819925,3,10,5
68,IBcUw0Apf,0.005347,1,8,2
69,IBcXytoYd,0.9402073333333334,3,15,6
70,IBcZYirXT,0.3757828333333333,11,25,11
71,IBd1M0lrd,0.943682,3,5,1
72,IBd5Krp7U,0.0820552,6,8,2
73,IBdb1ihQ0,0.52016875,11,24,10
74,IBdg60NID,0.967698,3,14,6
75,IBdiMBKBo,0.001678,2,15,0
76,IBdlee1W1,0.0093619999999999,4,31,14
77,IBdvC4jBp,0.002441,4,2,2
78,IBhYU8TTk,0.2847184444444444,42,252,55
79,IBj7VgURk,0.800624,2,20,8
80,IBjT32SYN,0.0050501999999999,7,30,2
81,IBjWD1vT9,0.975573,1,13,4
82,IBjcCBc6G,0.4911115,3,8,4
83,IBk4Pyb9A,0.6176367500000001,7,12,2
84,IBkPjsRYL,0.4209778571428572,10,18,4
85,IBkahzSrK,0.1479,1,7,1
86,IBkhah0HE,0.644957,1,2,2
87,IBl5H40RQ,0.1493374999999999,4,7,6
88,IBl9BkBFI,0.48439,2,11,3
89,IBlcX7nhM,0.007854,2,9,3
90,IBsReFS0l,0.000564,2,10,4
91,IBsfSlA8l,2.5e-05,1,4,0
92,IBtDasOr0,0.0050903333333333,4,12,3
93,IBtgqDOeW,0.0510571666666666,5,17,2
94,IBtkF4S5e,0.00831,1,11,5
95,IBtu5yDTJ,0.5097034375,11,39,4
96,IBvZobIpS,0.0125994285714285,12,29,70
97,IC3wVjQgs,0.666225,4,25,9
98,IC6IvwXhG,0.483281,4,5,3
99,IC6Zi002g,0.2944852,9,23,12
100,IC72Vq3Pv,0.2101875,5,9,9
101,IC7aRqfuH,0.8794215,4,15,2
102,IC7ducBGw,7.8e-05,4,15,1
103,ICFXtzCys,0.008721,3,8,0
104,ICFz0t9dk,0.99574,2,4,2
105,ICGhOqw2b,0.001473,4,18,3
106,ICI8Yn9Uf,0.4498144,3,15,3
107,ICIn1tfCA,0.993627,2,11,11
108,ICOHX30SF,0.004134,4,7,2
109,ICRLZemqM,0.0126013333333333,10,21,13
110,ICRUAi5dP,0.46964,2,9,5
111,ICRZ0w7W5,0.48079,21,34,19
112,ICRrzA2nm,0.934216,5,9,1
113,ICRy18lQW,0.8607658888888889,14,46,20
114,ICS31Ajmt,0.498921,15,21,6
115,ICS6M8Nat,0.0817796666666666,17,51,19
116,ICSbplwB7,0.99981,2,14,3
